cogn_load,painlvl,trialtyp,painrating,painrating_validity,nbackresponse,nbackresponse_validyity,numboftargetocc,correctans,trialidx,trialnum,run,blocktype,subjID
0,1,3,43.75,1,2,1,2,1,1,1,1,2,n2ezbykdc
0,0,1,7.29166666666667,1,4,1,4,1,1,2,1,2,n2ezbykdc
0,0,1,13.0208333333333,1,3,1,3,1,2,3,1,2,n2ezbykdc
0,1,3,69.7916666666667,1,3,1,3,1,2,4,1,2,n2ezbykdc
2,1,4,50,1,4,1,5,0,1,5,1,2,n2ezbykdc
2,0,2,18.75,1,5,1,5,1,1,6,1,2,n2ezbykdc
2,1,4,36.4583333333333,1,3,1,3,1,2,7,1,2,n2ezbykdc
0,1,3,50,1,3,1,3,1,3,8,1,2,n2ezbykdc
0,0,1,33.59375,1,3,1,3,1,3,9,1,2,n2ezbykdc
2,1,4,12.2395833333333,1,2,1,3,0,3,10,1,2,n2ezbykdc
2,0,2,38.0208333333333,1,2,1,3,0,2,11,1,2,n2ezbykdc
2,0,2,50,1,5,1,4,0,3,12,1,2,n2ezbykdc
0,1,3,79.6875,1,5,1,5,1,4,13,1,2,n2ezbykdc
2,0,2,23.4375,1,2,1,4,0,4,14,1,2,n2ezbykdc
0,1,3,53.6458333333333,1,4,1,4,1,5,15,1,2,n2ezbykdc
2,1,4,31.25,1,3,1,3,1,4,16,1,2,n2ezbykdc
0,0,1,34.6354166666667,1,3,1,3,1,4,17,1,2,n2ezbykdc
0,0,1,13.8020833333333,1,2,1,2,1,5,18,1,2,n2ezbykdc
2,1,4,33.0729166666667,1,5,1,5,1,5,19,1,2,n2ezbykdc
2,0,2,27.6041666666667,1,3,1,4,0,5,20,1,2,n2ezbykdc
2,1,4,16.40625,1,2,1,2,1,1,1,2,9,n2ezbykdc
2,1,4,23.4375,1,3,1,4,0,2,2,2,9,n2ezbykdc
0,0,1,22.65625,1,2,1,2,1,1,3,2,9,n2ezbykdc
2,1,4,50,1,2,1,2,1,3,4,2,9,n2ezbykdc
0,1,3,34.375,1,3,1,3,1,1,5,2,9,n2ezbykdc
2,0,2,17.96875,1,2,1,2,1,1,6,2,9,n2ezbykdc
0,0,1,12.2395833333333,1,3,1,3,1,2,7,2,9,n2ezbykdc
2,1,4,74.21875,1,3,1,4,0,4,8,2,9,n2ezbykdc
