cogn_load,painlvl,trialtyp,painrating,painrating_validity,nbackresponse,nbackresponse_validyity,numboftargetocc,correctans,trialnum,run,blocktype,subjID
1,0,1,3.7202380952381,0,4,1,4,1,1,1,10,n2ezbykdc
1,1,3,32.1428571428571,1,2,1,2,1,2,1,10,n2ezbykdc
2,1,4,14.2857142857143,1,2,1,3,0,3,1,10,n2ezbykdc
2,0,2,-0,1,3,1,5,0,4,1,10,n2ezbykdc
2,1,4,50,1,3,1,3,1,5,1,10,n2ezbykdc
1,1,3,42.5595238095238,1,5,1,5,1,6,1,10,n2ezbykdc
2,0,2,50,1,2,1,3,0,7,1,10,n2ezbykdc
2,0,2,32.8869047619048,1,3,1,3,1,8,1,10,n2ezbykdc
2,1,4,68.6011904761905,1,4,1,5,0,9,1,10,n2ezbykdc
1,1,3,83.4821428571429,1,3,1,3,1,10,1,10,n2ezbykdc
1,0,1,42.5595238095238,1,5,1,5,1,11,1,10,n2ezbykdc
2,1,4,56.6964285714286,1,4,1,4,1,12,1,10,n2ezbykdc
1,1,3,73.8095238095238,1,5,1,5,1,13,1,10,n2ezbykdc
2,0,2,30.6547619047619,1,4,1,4,1,14,1,10,n2ezbykdc
2,1,4,61.1607142857143,1,2,1,2,1,15,1,10,n2ezbykdc
2,0,2,50,1,1,1,2,0,16,1,10,n2ezbykdc
1,0,1,25.4464285714286,1,3,1,3,1,17,1,10,n2ezbykdc
1,1,3,82.7380952380952,1,3,1,3,1,18,1,10,n2ezbykdc
1,0,1,37.3511904761905,1,2,1,2,1,19,1,10,n2ezbykdc
1,0,1,33.6309523809524,1,4,1,4,1,20,1,10,n2ezbykdc
1,0,1,-0,1,5,1,5,1,1,2,5,n2ezbykdc
2,1,4,-0,1,4,1,4,1,2,2,5,n2ezbykdc
2,0,2,-0,1,2,1,2,1,3,2,5,n2ezbykdc
2,0,2,3.125,1,4,1,4,1,4,2,5,n2ezbykdc
2,1,4,7.58928571428571,1,5,1,5,1,5,2,5,n2ezbykdc
1,1,3,55.952380952381,1,2,1,2,1,6,2,5,n2ezbykdc
2,0,2,-0,1,2,1,2,1,7,2,5,n2ezbykdc
1,1,3,24.702380952381,1,5,1,5,1,8,2,5,n2ezbykdc
1,0,1,50,1,4,1,4,1,9,2,5,n2ezbykdc
2,1,4,50,1,2,1,2,1,10,2,5,n2ezbykdc
1,1,3,70.0892857142857,1,2,1,2,1,11,2,5,n2ezbykdc
1,0,1,26.1904761904762,1,3,1,3,1,12,2,5,n2ezbykdc
1,0,1,36.6071428571429,1,3,1,5,0,13,2,5,n2ezbykdc
2,1,4,54.4642857142857,1,4,1,4,1,14,2,5,n2ezbykdc
2,0,2,38.0952380952381,1,3,1,4,0,15,2,5,n2ezbykdc
1,0,1,23.9583333333333,1,3,1,3,1,16,2,5,n2ezbykdc
